The highest moment in a man's career may be the hour when he kneels in the dust and beats upon his breast and tells all the sins of his life.,Oscar Wilde,De Profundis,0,"Confession,Guilt",01-24-2022 21:36:00
"It is not our part to master all the tides of the world, but to do what is in us for the succor of those years wherein we are set, uprooting the evil in the fields that we know, so that those who live after may have clean earth to till. What weather they shall have is not ours to rule.", ,Return of the King,5,Evil,03-07-2021 20:23:24
"When you come to one of the many moments in life where you must give an account for yourself, provide a ledger of what you have been, and done, and meant to the world, do not, I pray, discount that you filled a dying man’s days with a sated joy, a joy unknown to me in all my prior years, a joy that does not hunger for more and more but rests, satisfied. In this time, right now, that is an enormous thing.",Paul Kalanithi,When Breath becomes Air,0,,03-07-2021 20:18:26
"Because we don't know when we will die, we get to think of life as an inexhaustible well. Yet everything happens only a certain number of times, and a very small number really. How many more times will you remember a certain afternoon of your childhood, an afternoon that is so deeply a part of your being that you can't even conceive of your life without it? Perhaps four, five times more, perhaps not even that. How many more times will you watch the full moon rise? Perhaps twenty. And yet it all seems limitless.",Paul Bowles,The Sheltering Sky,5,,03-07-2021 20:13:43
"“I wish it need not have happened in my time,” said Frodo.
“So do I,” said Gandalf, ""and so do all who live to see such times. But that is not for them to decide. All we have to decide is what to do with the time that is given us.”", ,The Fellowship Of The Rings,5,Depression,12-21-2020 08:59:23
"I am willing to serve my country, but my worship I reserve for that which is far greater than my country. To worship my country as a god is to bring a curse upon it.",Rabindranath Tagore,The Home and the World,0,,11-28-2020 20:39:30
Do not confuse motion and progress. A rocking horse keeps moving but does not make any progress.,Alfred A. Montapert, ,0,,03-25-2020 21:22:57
"The mills of the gods grind slowly, but they grind small.",Sextus Empiricus, ,0,"Government,Justice,Slow",10-08-2018 07:44:08
"Every great cause begins as a movement, becomes a business, and eventually degenerates into a racket.",Eric Hoffer,The Temper Of Our Times,0,"Movements,Politics,Religion",05-19-2018 22:21:17
"It is difficult to get a man to understand something, when his salary depends upon his not understanding it!",Upton Sinclair,"I, Candidate for Governor: And How I Got Licked",0,,05-10-2018 06:41:57
"If you can keep your head when all about you  
    Are losing theirs and blaming it on you,  
If you can trust yourself when all men doubt you,
    But make allowance for their doubting too;  
If you can wait and not be tired by waiting,
    Or being lied about, don’t deal in lies,
Or being hated, don’t give way to hating,
    And yet don’t look too good, nor talk too wise:
 
If you can dream—and not make dreams your master;  
    If you can think—and not make thoughts your aim;  
If you can meet with Triumph and Disaster
    And treat those two impostors just the same;  
If you can bear to hear the truth you’ve spoken
    Twisted by knaves to make a trap for fools,
Or watch the things you gave your life to, broken,
    And stoop and build ’em up with worn-out tools:
 
If you can make one heap of all your winnings
    And risk it on one turn of pitch-and-toss,
And lose, and start again at your beginnings
    And never breathe a word about your loss;
If you can force your heart and nerve and sinew
    To serve your turn long after they are gone,  
And so hold on when there is nothing in you
    Except the Will which says to them: ‘Hold on!’
 
If you can talk with crowds and keep your virtue,  
    Or walk with Kings—nor lose the common touch,
If neither foes nor loving friends can hurt you,
    If all men count with you, but none too much;
If you can fill the unforgiving minute
    With sixty seconds’ worth of distance run,  
Yours is the Earth and everything that’s in it,  
    And—which is more—you’ll be a Man, my son!",Rudyard Kipling, ,5,,03-12-2018 13:10:40
"Out of the night that covers me,
      Black as the pit from pole to pole,
I thank whatever gods may be
      For my unconquerable soul.
 
In the fell clutch of circumstance
      I have not winced nor cried aloud.
Under the bludgeonings of chance
      My head is bloody, but unbowed.
 
Beyond this place of wrath and tears
      Looms but the Horror of the shade,
And yet the menace of the years
      Finds and shall find me unafraid.
 
It matters not how strait the gate,
      How charged with punishments the scroll,
I am the master of my fate,
      I am the captain of my soul.",William Ernest Henley,Invictus,0,Masculinity,03-12-2018 13:07:39
"It is not the critic who counts;
not the man who points out how the strong man stumbles,
or where the doer of deeds could have done them better.
The credit belongs to the man who is actually in the arena,
whose face is marred by dust and sweat and blood;
who strives valiantly; who errs,
who comes short again and again,
because there is no effort without error and shortcoming;
but who does actually strive to do the deeds;
who knows great enthusiasms,
the great devotions;
who spends himself in a worthy cause;
who at the best knows in the end the triumph of high achievement,
and who at the worst,
if he fails,
at least fails while daring greatly,
so that his place shall never be with those cold and timid souls who neither know victory nor defeat.", ,The Man in the Arena,5,,12-13-2017 10:42:31
"A major goal of The Lord of The Rings was to dramatise that 'theory of courage' which Tolkien had said was the 'great contribution' to humanity of the old literature of the North. The central figure of that theory was Ragnarok - the day when gods and men would fight evil and the giants, and inevitably be defeated. Its great statement was that defeat was no refutation. The right side remains right even if it has no ultimate hope at all. In a sense this Northern mythology asks more of men, even makes more of them, than does Christianity, for it offers them no heaven, no salvation, no reward for virtue other than the somber satisfaction of having done what is right.",Tom Shippy,The Road to Middle-Earth,4,,04-06-2017 22:01:47
"What a dreadful, fear-darkened, sorrow-laden world we live in…  It is our duty to keep the Flag of the World flying: but it takes now a sturdier and more sublime patriotism than it did then.  …It is not for us to choose the times into which we are born, but to do what we could to repair them; but the spirit of wickedness in high places is now so powerful and so many headed in its incarnations that there seems nothing more to do than to personally refuse to worship any of the hydra’s heads.",JRR Tolkien,Letters,4,"Evil,Politics",01-11-2017 07:43:03
"I have claimed that Escape is one of the main functions of fairy-stories, and since I do not disapprove of them, it is plain that I do not accept the tone of scorn or pity with which “Escape” is now so often used: a tone for which the uses of the word outside literary criticism give no warrant at all. In what the misusers are fond of calling Real Life, Escape is evidently as a rule very practical, and may even be heroic. In real life it is difficult to blame it, unless it fails; in criticism it would seem to be the worse the better it succeeds. Evidently we are faced by a misuse of words, and also by a confusion of thought. Why should a man be scorned if, finding himself in prison, he tries to get out and go home? Or if, when he cannot do so, he thinks and talks about other topics than jailers and prison-walls? The world outside has not become less real because the prisoner cannot see it. In using escape in this way the critics have chosen the wrong word, and, what is more, they are confusing, not always by sincere error, the Escape of the Prisoner with the Flight of the Deserter.
 
Just so a Party-spokesman might have labelled departure from the misery of the Führer’s or any other Reich and even criticism of it as treachery. In the same way these critics, to make confusion worse, and so to bring into contempt their opponents, stick their label of scorn not only on to Desertion, but on to real Escape, and what are often its companions, Disgust, Anger, Condemnation, and Revolt. Not only do they confound the escape of the prisoner with the flight of the deserter; but they would seem to prefer the acquiescence of the “quisling” to the resistance of the patriot. To such thinking you have only to say “the land you loved is doomed” to excuse any treachery, indeed to glorify it.", ,On Fairy Tales,5,Escape,09-26-2016 10:03:04
"“A modern man,” said Dr. Cyrus Pym, “must, if he be thoughtful, approach the problem of marriage with some caution. Marriage is a stage — doubtless a suitable stage — in the long advance of mankind towards a goal which we cannot as yet conceive; which we are not, perhaps, as yet fitted even to desire. What, gentlemen, is the ethical position of marriage? Have we outlived it?”

“Outlived it?” broke out Moon; “why, nobody’s ever survived it! Look at all the people married since Adam and Eve — and all as dead as mutton.”

“This is no doubt an inter-pellation joc’lar in its character,” said Dr. Pym frigidly. “I cannot tell what may be Mr. Moon’s matured and ethical view of marriage –”

“I can tell,” said Michael savagely, out of the gloom. “Marriage is a duel to the death, which no man of honour should decline.”

“Michael,” said Arthur Inglewood in a low voice, “you must keep quiet.”", ,Manalive,4,Marriage,06-05-2016 06:20:49
"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.",JRR Tolkien, ,0,,11-09-2015 09:24:19
"We are all mysteries of light and dark. There are no true conservatives, liberals, etc, in the world. Only people.",Ray Bradbury,I Am Not Afraid of Robots. I Am afraid Of People.,0,,06-21-2015 12:16:59
"Life is short,
and art long,
opportunity fleeting,
experience perilous,
and decision difficult.",Hippocrates,Aphorisms,0,,06-21-2015 12:04:51
"We are constantly assured that the churches are empty because preachers insist too much upon doctrine — ‘dull dogma,’ as people call it. The fact is the precise opposite. It is the neglect of dogma that makes for dullness. The Christian faith is the most exciting drama that ever staggered the imagination of man — and the dogma is the drama.

This is the dogma we find so dull — this terrifying drama which God is the victim and the hero. If this is dull, then what, in Heaven’s name, is worthy to be called exciting? The people who hanged Christ never, to do them justice, accused Him of being a bore — on the contrary; they thought Him too dynamic to be safe. It has been left for later generations to muffle up that shattering personality and surround Him with an atmosphere of tedium. We have very efficiently pared the claws of the Lion of Judah, certifying Him ‘meek and mild,’ and recommended Him as a fitting household pet for pale curates and pious old ladies.",Dorthy Sayers, ,0,,05-01-2015 16:09:22
"When our early aviators looked at the world’s “best practice” fliers—birds—they saw two things almost all these had in common: wings and feathers. So, they strapped on wings and feathers, climbed to the top of cathedral spires, jumped off and flapped hard. It rarely worked out well.",Clay Christensen,How To Measure Your Life,5,"Best practices,Bird,Feathers,Flight,Theory",04-07-2015 10:52:37
"The real test of being in the presence of God is, that you either forget about yourself altogether or see yourself as a small, dirty object.",CS Lewis,Mere Christanity,5,"Christianity,God",04-07-2015 10:43:29
"Common sense tells us that the world is flat, that the sun goes around the earth, that heavy bodies always fall faster than light bodies, that boats made of iron will sink.",Stuart Chase,The Proper Study Of Mankind,5,"Common sense,Wisdom",01-08-2015 05:50:53
"Think of the company as an organism. Inside this organism there are entities -- be they people, budgets, processes, or rules in binders. These are things that are designed to eat up innovation. To eat up changes to the core business. Companies do this not because they are stupid, but because they see this newcomer, this entrant, as a pathogen. It is seen as something that's damaging the organism. So they act, and sometimes even collude, to destroy it.  They are paid good money to do that. Their incentives are all very clear and they go to their boss every year and get a raise because they've been successful. You have to understand that no matter how muich someone, even the CEO, has a vision, if the organization underneath has not been properly incentivized to absorb the change, it's almost impossible to build that kind of structure. It's schizophrenic to accept this intruder that's trying to take away your core business.",Horace Dediu,Corporate Antibodies,4,,10-30-2014 09:22:46
"There are no ordinary people. You have never talked to a mere mortal. Nations, cultures, arts, civilizations–these are mortal, and their life is to ours as the life of a gnat. But it is immortals whom we joke with, work with, marry, snub, and exploit–immortal horrors or everlasting splendours. This does not mean that we are to be perpetually solemn. We must play. But our merriment must be of the kind (and it is, in fact, the merriest kind) which exists between people who have, from the outset, taken each other seriously–no flippancy, no superiority, no presumption.",CS Lewis,The Weight Of Glory,0,,10-10-2014 14:52:17
Human beings are the exception handlers in all workflows.,Jon Udell, ,0,,10-10-2014 14:52:01
"I live in the Managerial Age, in a world of ""Admin."" The greatest evil is not now done in those sordid ""dens of crime"" that Dickens loved to paint. It is not done even in concentration camps and labour camps. In those we see its final result. But it is conceived and ordered (moved, seconded, carried, and minuted) in clean, carpeted, warmed and well-lighted offices, by quiet men with white collars and cut fingernails and smooth-shaven cheeks who do not need to raise their voices. Hence, naturally enough, my symbol for Hell is something like the bureaucracy of a police state or the office of a thoroughly nasty business concern.",CS Lewis, ,0,,10-10-2014 14:51:45
Do not let us mistake necessary evils for good.,CS Lewis, ,0,,10-10-2014 14:51:15
"Of all tyrannies, a tyranny sincerely exercised for the good of its victims may be the most oppressive. It would be better to live under robber barons than under omnipotent moral busybodies. The robber baron’s cruelty may sometimes sleep, his cupidity may at some point be satiated; but those who torment us for our own good will torment us without end for they do so with the approval of their own conscience.",CS Lewis,God In the Dock,0,,10-10-2014 14:50:59
"Men are generally idle, and ready to satisfy themselves, and intimidate the industry of others, by calling that impossible which is only difficult.",Samuel Johnson,Herman Boerhaave,0,,10-10-2014 14:50:09
I more fear what is within me than what comes from without.,Martin Luther, ,0,,10-10-2014 14:49:46
"A householder instructs his servants and family in this manner: Deal uprightly and honestly, be diligent in that which I command you, and ye may then eat, drink, and clothe yourselves as ye please. Even so, our Lord God regards not what we eat, drink, or how we clothe ourselves; all such matters, being ceremonies or middle things, he leaves freely to us, on the understanding, however, that we ground nothing thereon as being necessary to salvation.""",Martin Luther,Table Talk DCCII,0,,10-10-2014 14:49:10
I will tell you how to become rich. Close the doors. Be fearful when others are greedy. Be greedy when others are fearful.,Warren Buffet, ,0,,10-10-2014 14:48:49
Success is a lousy teacher. It seduces smart people into thinking they can’t lose. And it’s an unreliable guide to the future.,Bill Gates, ,0,,10-10-2014 14:48:32
"Governors should be wise, of a courageous spirit, and should know how to rule alone without their counsellors.",Martin Luther, ,0,,10-10-2014 14:47:56
"Our Lord God deals with countries and cities, as I do with an old hedge-stick, when it displeases me; I pluck it up and burn it, and stick another in its stead.",Martin Luther, ,0,,10-10-2014 14:47:38
Each success only buys an admission ticket to a more difficult problem.,Henry A. Kissinger, ,0,,10-10-2014 14:47:17
"""It it is worse than useless for Christians to talk about the importance of Christian morality, unless they are prepared to take their stand upon the fundamentals of Christian theology. It is a lie to say that dogma does not matter; it matters enormously. It is fatal to let people suppose that Christianity is only a mode of feeling; it is vitally necessary to insist that it is first and foremost a rational explanation of the universe. It is hopeless to offer Christianity as a vaguely idealistic aspiration of a simple and consoling kind; it is, on the contrary, a hard, tough, exacting, and complex doctrine, steeped in a drastic and incompromising realism. And it is fatal to imagine that everybody knows quite well what Christianity is and needs only a little encouragement to practice it. The brutal fact is that in this Christian country not one person in a hundred has the faintest notion what the Church teaches about God or man or society or the person of Jesus Christ….  …Theologically this country is at present is in a state of utter chaos established in the name of religious toleration and rapidly degenerating into flight from reason and the death of hope.  """,Dorthy Sayers,Creed Of Chaos,0,,10-10-2014 14:46:34
"You cannot study Pleasure in the moment of the nuptial embrace, nor repentance while repenting, nor analyze the nature of humour while roaring with laughter.",CS Lewis,God In the Dock,0,,10-10-2014 14:46:04
"Question: Do you feel, then, that modern culture is being de-Christianized?
Lewis: I cannot speak to the political aspects of the question, but I have some definite views about the de-Christianizing of the church. I believe that there are many accommodating preachers, and too many practitioners in the church who are not believers. Jesus Christ did not say, ‘Go into all the world and tell the world that it is quite right.’ The Gospel is something completely different. In fact, it is directly opposed to the world.",CS Lewis,Sherwood Eliot Wirt Interview on CBN,0,,10-10-2014 14:45:33
"The great difficulty is to get modern audiences to realize that you are preaching Christianity soley and simply because you happen to think it true; they always suppose you are preaching it because you like it or think it good for society or something of that sort. Now a clearly maintanied distinction between what the Faith actually says and what you would like it to have said or what you understand or what you personally find helpful or think probable, forces your audience to realize that you are tied to your data just as the scientist is tied by the results of the experiments; that you are not just saying what you like. This immediately helps them realize that what is being discussed is a question about objective fact — not gas about ideals and points of view.",CS Lewis,Mere Christanity,0,,10-10-2014 14:44:52
"I didn’t go to religion to make me happy. I always knew a bottle of Port would do that. If you want a religion to make you feel really comfortable, I certainly don’t recommend Christianity.",CS Lewis,God In the Dock,0,,10-10-2014 14:44:21
"Oh, the art [Music] is a noble commodity. One shouldn’t use it for pay, for purse or coffer. The art is easy to practice, is esteemed everywhere, benefits all people, and nevertheless preserves its own integrity. Yet nobody wants to learn or love it.",Martin Luther, ,0,,10-10-2014 14:44:02
"Deo, parentibus et magistris non potest satis gratiae rependi. – To God, to parents, and to teachers we can never render sufficient gratitude and compensation.",Martin Luther,Explanation Of the 4th Commandment,0,,10-10-2014 14:43:34
"There is no safe investment. To love at all is to be vulnerable. Love anything and your heart will certainly be wrung and possibly be broken. If you want to make sure of keeping it intact, you must give your heart to no-one...   Wrap it carefully around with hobbies and little luxuries; avoid all entanglements; lock it up safe in the casket or coffin of your selfishness. But in that casket-safe, dark, motionless, airless-it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. The alternative to tragedy, or at least to the risk of tragedy, is damnation. The only place outside heaven where you can be perfectly safe from all the dangers and perturbations of love is hell.",CS Lewis,The Four Loves,0,,10-10-2014 14:43:08
"Good business leaders create a vision, articulate the vision, passionately own the vision, and relentlessly drive it to completion.",Jack Welch, ,0,,10-10-2014 14:42:48
"""I’ve missed more than 9000 shots in my career. I’ve lost almost 300 games. 26 times, I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed.""",Michael Jordan, ,0,,10-10-2014 14:42:15
I am among those who think that science has great beauty. A scientist in his laboratory is not only a technician: he is also a child placed before natural phenomena which impress him like a fairy tale.,Marie Curie, ,0,,10-10-2014 14:41:38
"If you don’t like change, you’re going to like irrelevance even less.",Eric Shinseki, ,0,,10-10-2014 14:41:04
